Trade #,Type,Signal,Date/Time,Price INR,Contracts,Profit INR,Profit %,Cum. Profit INR,Cum. Profit %,Run-up INR,Run-up %,Drawdown INR,Drawdown %
11,Entry Long,Sell 17700 PE,4/13/2023 14:05,17789.7,1,-53.5,-0.3,61.4,-0.01,52.45,0.29,53.5,0.3
12,Exit Long,TG-Exit-Sell 17500PE,4/24/2023 9:15,17709.2,1,97.85,0.56,159.25,0.01,97.85,0.56,15.05,0.09
12,Entry Long,Sell 17500 PE,4/21/2023 13:55,17611.35,1,97.85,0.56,159.25,0.01,97.85,0.56,15.05,0.09
13,Exit Long,TG-Exit-Sell 17700PE,4/27/2023 13:20,17872.65,1,74.4,0.42,233.65,0.01,74.4,0.42,31.05,0.17
13,Entry Long,Sell 17700 PE,4/26/2023 12:35,17798.25,1,74.4,0.42,233.65,0.01,74.4,0.42,31.05,0.17
14,Exit Long,TG-Exit-Sell 17750PE,4/28/2023 9:15,17955.75,1,84.35,0.47,318,0.01,84.35,0.47,11.9,0.07
14,Entry Long,Sell 17750 PE,4/27/2023 13:25,17871.4,1,84.35,0.47,318,0.01,84.35,0.47,11.9,0.07
15,Exit Long,TG-Exit-Sell 17800PE,4/28/2023 14:35,17991.6,1,72.3,0.4,390.3,0.01,72.3,0.4,34,0.19
15,Entry Long,Sell 17800 PE,4/28/2023 9:55,17919.3,1,72.3,0.4,390.3,0.01,72.3,0.4,34,0.19
16,Exit Long,TG-Exit-Sell 17900PE,4/28/2023 15:10,18064.7,1,72.65,0.4,462.95,0.01,72.65,0.4,10.75,0.06
16,Entry Long,Sell 17900 PE,4/28/2023 14:40,17992.05,1,72.65,0.4,462.95,0.01,72.65,0.4,10.75,0.06
17,Exit Long,TG-Exit-Sell 18000PE,5/4/2023 12:45,18178.05,1,81.2,0.45,544.15,0.01,81.2,0.45,30.15,0.17
17,Entry Long,Sell 18000 PE,5/3/2023 14:35,18096.85,1,81.2,0.45,544.15,0.01,81.2,0.45,30.15,0.17
18,Exit Long,TG-Exit-Sell 18100PE,5/4/2023 15:05,18260.2,1,77.85,0.43,622,0.01,77.85,0.43,13.5,0.07
18,Entry Long,Sell 18100 PE,5/4/2023 13:05,18182.35,1,77.85,0.43,622,0.01,77.85,0.43,13.5,0.07
19,Exit Long,TG-Exit-Sell 18200PE,5/11/2023 9:15,18389.7,1,105.2,0.58,727.2,0.01,105.2,0.58,40.2,0.22
19,Entry Long,Sell 18200 PE,5/10/2023 11:50,18284.5,1,105.2,0.58,727.2,0.01,105.2,0.58,40.2,0.22
20,Exit Long,SL-Exit-Sell 18250PE,5/11/2023 14:50,18287.05,1,-46.05,-0.25,681.15,0,17.2,0.09,46.05,0.25
20,Entry Long,Sell 18250 PE,5/11/2023 10:20,18333.1,1,-46.05,-0.25,681.15,0,17.2,0.09,46.05,0.25
21,Exit Long,X-Exit-Sell 18200PE,5/15/2023 9:20,18346.9,1,32.6,0.18,713.75,0,49.4,0.27,26.4,0.14
